# phase, dt_ch1, vpp1_ch1, vpp2_ch1, dt_ch2, vpp1_ch2, vpp2_ch2, dt_ch3, vpp1_ch3, vpp2_ch3, dt_ch4, vpp1_ch4, vpp2_ch4
# phase [degree], dt [ps], vpp [V]
#
286, 146.35, 37.500, 55.227, 180.90, 12.273, 27.727, 133.46, 18.182, 26.818, 133.46, 21.818, 42.273
256, 191.35, 36.818, 56.591, 190.90, 20.454, 23.182, 188.46, 19.545, 35.455, 188.46, 24.091, 33.636
226, 226.35, 36.818, 21.818, 225.90, 9.545 , 13.18 , 203.46, 15.000, 10.000, 208.46, 23.636, 17.727
196, 231.35, 21.136, 12.964, 260.90, 8.181 , 9.0909, 208.46, 19.545, 3.6364, 233.46, 23.636, 8.6364
166, 171.35, 59.773, 7.0454, 190.90, 23.182, 5.4545, 168.46, 30.455, 5.9091, 163.64, 32.237, 11.364
136, 261.35, 47.045, 12.045, 245.90, 15.455, 5.4545, 168.46, 20.000, 7.2728, 223.46, 34.545, 9.5454
316, -141.35, 7.0454, 69.773, -140.90, 7.7272, 25.000, -178.46, 6.3637, 35.455, -143.46, 11.818, 40.909
346, -136.35, 7.0454, 44.318, -145.90, 5.9091, 19.545, -193.46, 4.5455, 18.636, -148.46, 3.1818, 30.455
376, -186.35, 23.864, 25.227, -200.90, 5.4545, 11.818, -173.46, 9.0909, 10.909, -193.46, 21.818, 17.727
406, -201.35, 54.773, 34.773, -200.90, 20.454, 16.364, -208.46, 22.727, 17.273, -198.46, 36.818, 25.909
436, -191.35, 20.682, 44.318, -195.90, 10.454, 22.727, -178.46, 9.0910, 15.455, -193.46, 17.273, 24.091
106, 151.35, 54.773, 15.227, 150.90, 23.182, 5.0000, 143.46, 23.182, 8.6364, 158.46, 32.727, 10.909
286, 141.35, 52.045, 62.955, 160.90, 12.727, 30.455, 133.46, 21.364, 32.273, 133.46, 25.909, 48.636